Title,Description,Board,Status,Universes,Labels,Due Date,Checklist,Notes
FlowSuite — Commercial Build and Sale,"Multi-module SaaS for sale: Base, FlowSuite-Print, FlowSuite-Bus/JAK, FlowSuite-DAC. Des is sales partner. Minuteman pilot complete.",1. Projects,ACTIVE NOW,CARES Consulting Inc + Flows and Solutions,🛠 In Progress,,[ ] PeopleFlow discipline module complete | [ ] Fix ScanFlow station sort | [ ] RLS security fix | [ ] Pricing deck with Des | [ ] First non-Minuteman client,
FlowSuite — PeopleFlow Module,"HR module: progressive discipline chain, signature overlays, injury reporting, onboarding backfill, doc uploaders.",1. Projects,ACTIVE NOW,CARES Consulting Inc + Flows and Solutions,🛠 In Progress,,[ ] Discipline module complete | [ ] Doc uploaders | [ ] Payroll/withholding tab | [ ] Union dues report,
Ask Kari — Chat Platform,"AI chat at chat.karikounkel.com — admin inbox, visitor widget. Embedded across CCK, caresmn.com, freedomforcemn.org.",1. Projects,ACTIVE NOW,K Co Curated + Flows and Solutions,🛠 In Progress,,[ ] Monitor admin inbox daily | [ ] Embed on karikounkel.com | [ ] Embed on everything.karikounkel.com | [ ] Embed on keepstead.pro when built | [ ] Promote on social,
CCK — March 2026 Cohort Active,"First cohort launched March 7. Jessica Stewart, Desiree Hart, Betsy Hankel, Scott. Founding members — free tier. Stripe goes live April 1.",5. Business,ACTIVE NOW,CARES Consulting Inc,🛠 In Progress,,[ ] Complete sessions 7-12 | [ ] Session plan weeks 7-12 from Monet/Finn | [ ] Stripe live April 1 | [ ] Public signup flow | [ ] Demo button on login screen,
CCK — Public Launch and Sales,"Public signup, $13/mo founding rate, $169 full program. Marketing to people rebuilding financially.",5. Business,NEXT UP,CARES Consulting Inc + Marketing Plans,🚀 Ready to Launch,2026-04-01,[ ] Stripe links live | [ ] Public signup page | [ ] Facebook launch post | [ ] Email list announcement | [ ] Ask Kari embedded on CCK site,
Chasing Chickens — Memoir Writing,Memoir launching October 28 2026 — five-year sobriety anniversary. Part I: Chasing Chickens. Part II: The Gospel According to Kari.,2. Writing,ACTIVE NOW,My Library + K Co Curated,🛠 In Progress,2026-10-28,[ ] Complete Part I manuscript | [ ] Complete Part II manuscript | [ ] Find publisher or finalize self-pub plan | [ ] Launch strategy | [ ] Book tour plan,
Chasing Chickens — Launch Plan,Marketing and launch strategy for October 28 2026 memoir release. Five-year sobriety anniversary.,5. Business,NEXT UP,Marketing Plans + K Co Curated,,2026-10-28,[ ] Build launch timeline | [ ] Identify launch team | [ ] Social campaign plan | [ ] Speaking engagements around launch | [ ] Podcast tour,
Mud and Spit — Podcast Launch,Holy hilarious sideways life podcast. YouTube (video) and Substack (audio only). Holy Week series built through Pentecost.,3. Content,ACTIVE NOW,The 13th Room + K Co Curated,🛠 In Progress,,[ ] Record Holy Thursday episode — The Table John 13 | [ ] Record Good Friday — The Crooked Line John 19:30 | [ ] Record Holy Saturday — The Porch Matthew 27:65-66 | [ ] Record Easter — One Thing I Know Is True | [ ] Set up YouTube channel | [ ] Set up Substack audio | [ ] Promote relaunch,
Mud and Spit — Easter Series through Pentecost,Six Sundays Easter through Pentecost content map already built. Then ongoing weekly life podcast.,3. Content,NEXT UP,The 13th Room + K Co Curated,📅 Scheduled,,[ ] Easter Sunday 1 | [ ] Easter Sunday 2 | [ ] Easter Sunday 3 | [ ] Easter Sunday 4 | [ ] Easter Sunday 5 | [ ] Pentecost | [ ] Ongoing weekly format after Pentecost,
Everything Under the Sun — Lenten Podcast,Ecclesiastes plus Year A lectionary. Six episodes recorded. Episode 4 gospel abbreviated in recording.,3. Content,NEXT UP,The 13th Room,🛠 In Progress,,[ ] Fix Episode 4 gospel cut — John 4:5-42 abbreviated | [ ] Publish remaining episodes | [ ] Archive series on Substack,
Freedom Force — Operations,"Freedom Force Ltd 501c3 nonprofit operations. Ongoing programs, grants, community art, recovery support.",5. Business,ACTIVE NOW,Freedom Force,🛠 In Progress,,[ ] Grant tracker current | [ ] Board communications | [ ] Program reporting,
Freedom Rising — Community Art Calendar,Community art calendar at freedomforcemn.org. Submissions open. Hardship waiver available via email to kari@freedomforcemn.org.,1. Projects,ACTIVE NOW,Freedom Force,🛠 In Progress,2026-05-31,[ ] Promote submissions on social | [ ] Sponsor outreach | [ ] Finalize copy with Finn | [ ] Hardship waiver process working | [ ] Ask Kari widget on page,
PATHWAYZ — Peer Recovery Curriculum,Peer recovery curriculum for Freedom Force. Student workbook and facilitator guide in development.,1. Projects,ACTIVE NOW,Freedom Force + My Library,🛠 In Progress,,[ ] Student workbook draft | [ ] Facilitator guide draft | [ ] Pilot program plan,
Still Walking — Recovery Letters Anthology,Recovery letters anthology published by Freedom Force.,2. Writing,PLANTED,Freedom Force + My Library,,,[ ] Submission process | [ ] Editorial plan | [ ] Publication timeline,
The 13th Room — Substack,Substack for spiritually gifted people who do not fit traditional church structures. Active and publishing.,3. Content,ACTIVE NOW,The 13th Room,🛠 In Progress,,[ ] Weekly publishing rhythm | [ ] Grow subscriber list | [ ] Connect to Mud and Spit content,
No One Brings Casseroles to Divorcees — Novel,Novel in serialization. Protagonist Nora. Sideways holy fiction. Nora can drink coffee even though Kari does not.,2. Writing,ACTIVE NOW,My Library + The 13th Room,🛠 In Progress,,[ ] Continue serialization | [ ] Publish chapters on Substack | [ ] Full manuscript plan,
Scott Hoglund Art — Site and Forged Lines Book,scotthoglundart.com built and deployed. Forged Lines book project in development alongside the site.,1. Projects,ACTIVE NOW,CARES Consulting Inc + K Co Curated,🛠 In Progress,,[ ] Site live and maintained | [ ] Forged Lines book concept developed | [ ] Book publishing plan,
Granny Bubblzz — Complete Series,13-book childrens series. All titles locked. Writing and illustration in progress.,2. Writing,ACTIVE NOW,Granny Bubblzz + K Co Curated,🛠 In Progress,,[ ] Book 1 manuscript complete | [ ] Illustration plan | [ ] Publisher outreach or self-pub plan | [ ] Series launch strategy,
Granny Bubblzz — Book 1 Night of the Raccoon-Faced Rabbits,First book in the Granny Bubblzz series. Ready to write.,2. Writing,NEXT UP,Granny Bubblzz,,,[ ] First draft | [ ] Edit | [ ] Illustration brief | [ ] Ready for publisher,
Marbleverse — App and Product Line,"Marbleverse app live. Product line includes ritual cards, journal, zine, event kit, retreat kit, kids edition.",1. Projects,ACTIVE NOW,K Co Curated + Flows and Solutions,🛠 In Progress,,[ ] App maintained | [ ] Product line prioritized | [ ] Marbleverse retreat kit | [ ] Social templates,
Pink Palaces — Granddaughters Legacy,"Legacy content for Athena and Marley. Letters, blessings, grandmother stories, memory keeping.",2. Writing,PLANTED,Pink Palaces (Granddaughters),,,[ ] Notes for Athena and Marley | [ ] 13 Grandmother Blessings | [ ] Grandma Stories Series,
My Farm — Clucks Ducks and Mustards,"Homestead life, chickens, farm projects, grain-free recovery diet, recipe collection, seasonal living.",7. Ideas,PLANTED,"My Farm - Clucks, Ducks, & Mustards",,,[ ] Grain-free recovery diet plan | [ ] Recipe collection | [ ] Farm content ideas,
K Co — Store and Fulfillment,"Physical products in Ecwid. Crafted and curated goods — apparel, art, gifts, merch. Orders coming in.",5. Business,ACTIVE NOW,Fulfillment for K Co + K Co Curated,🙋 Needs Input,,[ ] Inventory what exists | [ ] Photograph products | [ ] List in Ecwid | [ ] Fulfillment workflow | [ ] Catalog crafted goods,
K Co — Branding and Crown Logo System,"K Co brand identity, crown logo system, packaging, visual standards.",5. Business,PLANTED,K Co Curated + Marketing Plans,,,[ ] Crown logo finalized | [ ] Brand standards doc | [ ] Packaging system | [ ] Canva asset library,
K Co — Website karikounkel.com,"Main website for Kari Kounkel. All products, speaking, writing, Ask Kari widget.",5. Business,ACTIVE NOW,K Co Curated + Marketing Plans,🛠 In Progress,,[ ] Ask Kari embedded | [ ] All products listed | [ ] Speaking page | [ ] Email list connected | [ ] Cal.com booking live,
CARES Consulting — Business Development,"CARES Consulting Inc active client work, consulting services, HR, financial consulting, JotForm systems.",5. Business,ACTIVE NOW,CARES Consulting Inc,🛠 In Progress,,[ ] Active client list current | [ ] JotForm system maintained | [ ] Website updated | [ ] Services page current,
CARES — Founders Series Workbook,Founders Series workbook 295-320 pages. Built through Section 6 using four fictional case study businesses. Section 7 remains.,2. Writing,ACTIVE NOW,CARES Consulting Inc + The Hub Mpls,🛠 In Progress,,[ ] Write Section 7 | [ ] Final edit | [ ] Design and layout | [ ] Print and distribute,
The Hub Mpls — Build the Team,"Building a team to run The Hub. Not just Kari — needs leadership, membership systems, space management.",4. Clients,ACTIVE NOW,The Hub Mpls + Partners,🙋 Needs Input,,[ ] Identify Hub leadership candidates | [ ] Define roles | [ ] Membership system plan | [ ] Space rental agreements,
Grain-Free and Sugar-Free Lifestyle,"Psoriatic disease managed through diet. No grain, no sugar. D3, zinc, magnesium, omega-3s. Gut health focus.",9. Learning,ACTIVE NOW,"My Farm - Clucks, Ducks, & Mustards + K Co Curated",🛠 In Progress,,[ ] D3 supplement daily | [ ] Magnesium glycinate | [ ] Omega-3s | [ ] Fermented foods | [ ] Bone broth | [ ] Track psoriasis triggers,
My Brain Is Mustard — Published,55 vignettes x 55 words each. Recovery and neurodivergence. Published.,2. Writing,DONE,My Library + K Co Curated,✅ Done,,[x] Published,Completed 3/31/2026
Check the Stable — Christmas Devotional,Christmas devotional. Published.,2. Writing,DONE,My Library + The 13th Room,✅ Done,,[x] Published,Completed 3/31/2026
The Gospel According to Kari,"Part II of Chasing Chickens memoir. Sideways gospel of fragments, poetry, spiritual reflections.",2. Writing,ACTIVE NOW,My Library + The 13th Room,🛠 In Progress,2026-10-28,[ ] Draft fragments | [ ] Poetry sections | [ ] Spiritual reflections | [ ] Integrate with memoir Part I,
Keepstead — Phase 4 Balances and Ledger,"Build Balances room (bills, income, $20K ladder) and Ledger room (tax categories, deductions, home daycare module).",1. Projects,PLANTED,K Co Curated + Flows and Solutions,,,[ ] Balances bills tracker | [ ] Balances income log | [ ] Balances $20K ladder | [ ] Ledger tax categories | [ ] Ledger home daycare module | [ ] Migrate Gretchen data,
Affiliate Marketing — Infrastructure,"Amazon Associates ID karikounke077-20, Skimlinks 300473X1788322, Awin Publisher ID 2826582 K Co LLC, Mavely approved.",10. Money,ACTIVE NOW,K Co Curated + Marketing Plans,🛠 In Progress,,[ ] Amazon links in content | [ ] Skimlinks active | [ ] Awin campaigns | [ ] Mavely active | [ ] Track monthly affiliate revenue,
Screwtape Revisited — Zine Series,Zine series. Published and ongoing.,2. Writing,ACTIVE NOW,My Library + The 13th Room,🛠 In Progress,,[ ] Next issue planned | [ ] Distribution,
tools.caresmn.com — Live Launch,Five-page tools hub live on Dreamhost. Hub page + email tutorial + client visit summary + communication templates + freebie landing page all uploaded and connected.,1. Projects,DONE,CARES Consulting Inc,✅ Done,2026-04-01,[x] index.html uploaded | [x] all 5 pages live | [x] links working | [x] Ask Kari widget on index | [x] caresmn.com Browse All Resources link fixed | [x] footer links connected,Completed 4/1/2026
caresmn.com — Browse All Resources + Ask Kari,Fixed dead Browse All Resources link to tools.caresmn.com. Added footer link. Embedded Ask Kari widget.,1. Projects,DONE,CARES Consulting Inc,✅ Done,2026-04-01,[x] Browse All Resources → tools.caresmn.com | [x] Footer link added | [x] Ask Kari widget embedded,Completed 4/1/2026
Systeme.io Funnel — Email Attachment Downloader,Funnel created. Automation trigger set. Welcome email written. Blocked on sender email — domain authentication not showing in Systeme.io yet.,1. Projects,NEXT UP,CARES Consulting Inc,⏳ Pending,,[ ] Confirm domain auth in Systeme.io | [ ] Select kari@caresmn.com as sender | [ ] Save automation rule | [ ] Grab opt-in embed code | [ ] Drop embed into email-freebie-landing.html on Dreamhost,
Ask Kari Widget — Embed on All Tools Pages,Widget only on index.html right now. Needs to go on all five tools pages.,1. Projects,NEXT UP,CARES Consulting Inc + K Co Curated,⏳ Pending,,[ ] email-freebie-landing.html | [ ] email-attachment-tutorial.html | [ ] client-visit-summary.html | [ ] client-communication-templates.html,
Tutorial — QuickBooks IIF Import,Next in the tools series. HTML page in CARES slate/orange. Audience: bookkeepers and office managers who import transactions.,1. Projects,NEXT UP,CARES Consulting Inc,🚀 Ready to Launch,,[ ] Write content | [ ] Build HTML page | [ ] Add to tools index.html | [ ] Add to products.json,
Tutorial — HR Onboarding Without the Chaos,New hire onboarding sequence for small businesses without a full HR team.,1. Projects,NEXT UP,CARES Consulting Inc,🚀 Ready to Launch,,[ ] Write content | [ ] Build HTML page | [ ] Add to tools index.html | [ ] Add to products.json,
Tutorial — Job Costing That Actually Makes Sense,Job costing and WIP tracking for small shops and service businesses.,1. Projects,NEXT UP,CARES Consulting Inc,🚀 Ready to Launch,,[ ] Write content | [ ] Build HTML page | [ ] Add to tools index.html | [ ] Add to products.json,
karikounkel.store — Product Admin Build,Store mockup built with admin panel and Show on CARES checkboxes. products.json is single source of truth. Needs Supabase wiring and real Stripe links.,1. Projects,NEXT UP,K Co Curated + CARES Consulting Inc,🛠 In Progress,,[ ] Host products.json on Vercel | [ ] Wire fetch() to both sites | [ ] Swap placeholder Stripe URLs | [ ] Build Supabase admin panel for self-management | [ ] Connect Printful,
Video Script — Email Attachment Tutorial,9-minute screen recording script written and ready. Kari records herself — screen + voiceover.,2. Writing,PLANTED,CARES Consulting Inc,🚀 Ready to Launch,,[ ] Record screen walkthrough | [ ] Add voiceover | [ ] Upload to YouTube | [ ] Embed on tutorial page | [ ] Link from landing page,
Client Visit Summary — Leave Behind Template,Fillable printable one-pager for client visits. Checkboxes for completed work and items still needed. Print as PDF.,1. Projects,DONE,CARES Consulting Inc,✅ Done,2026-04-01,[x] Built | [x] Uploaded to tools.caresmn.com,Completed 4/1/2026
What to Actually Say — Communication Templates,10 client communication templates in 5 categories. Boundaries / chasing docs / bad news / fees / awkward situations. Copy buttons and Sidebar Notes from Kari.,1. Projects,DONE,CARES Consulting Inc,✅ Done,2026-04-01,[x] Built | [x] Uploaded to tools.caresmn.com,Completed 4/1/2026
